CustomerID,Name,Age,Gender,Region,Tenure,Churn
C0085,Prerak D’Alia,39,Male,South,39,No
C0086,Aradhya Sarin,32,Female,South,34,No
C0087,Diya Bahri,39,Male,South,56,No
C0088,Piya Deo,41,Female,South,47,No
C0089,Arhaan Grover,51,Male,East,11,Yes
C0090,Samaira Dyal,42,Male,West,58,No
C0091,Miraan Rajagopalan,40,Male,West,1,Yes
C0092,Aniruddh Jha,36,Female,East,44,No
C0093,Aradhya Saini,47,Male,West,40,No
C0094,Mamooty Dewan,36,Male,East,13,Yes
C0095,Biju Sidhu,27,Female,South,59,No
C0096,Vidur Gopal,54,Female,North,14,Yes
C0097,Manikya Tiwari,28,Female,North,48,No
C0098,Onkar Rama,41,Female,East,47,No
C0099,Saksham Basak,48,Female,West,45,No
C0100,Madhup Acharya,49,Female,West,32,No
C0101,Rasha Rajagopal,54,Female,East,2,Yes
C0102,Aarush Dara,39,Male,South,49,No
C0103,Navya Deshmukh,26,Male,North,24,No
C0104,Stuvan Shenoy,34,Male,South,44,No
C0105,Mamooty Gandhi,47,Male,South,52,No
C0106,Heer Balan,22,Female,South,34,No
C0107,Zain Sangha,45,Female,East,53,No
C0108,Hunar Bail,35,Female,South,16,No
C0109,Yashvi Sachdev,45,Female,East,25,No
C0110,Kavya Dara,50,Male,Central,40,No
C0111,Saira Ganesh,22,Male,East,8,Yes
C0112,Romil Sahni,32,Male,South,44,No
C0113,Prerak Andra,41,Female,West,41,No
C0114,Ritvik Brar,37,Male,South,18,No
C0115,Shlok Devan,43,Male,East,56,No
C0116,Arhaan Anne,23,Male,Central,1,Yes
C0117,Prisha Tandon,30,Male,North,51,No
C0118,Ayesha Borra,34,Female,East,25,No
C0119,Heer Chowdhury,28,Male,Central,1,Yes
C0120,Onkar Tata,40,Female,South,19,No
C0121,Samiha Cherian,36,Male,East,58,No
C0122,Siya Dutt,28,Male,South,38,No
C0123,Mannat Dutt,25,Female,North,46,No
C0124,Dhanush Khanna,27,Female,Central,44,No
C0125,Nakul Salvi,30,Female,North,56,No
C0126,Kartik Raval,38,Female,South,52,No
C0127,Uthkarsh Sagar,38,Female,West,20,No
C0128,Aaryahi Bakshi,38,Female,South,54,No
C0129,Kiara Sankaran,45,Female,North,26,No
C0130,Kanav Gopal,52,Male,South,5,Yes
C0131,Drishya Garg,38,Male,South,4,Yes
C0132,Adah Swamy,47,Female,East,8,Yes
C0133,Yasmin Sengupta,52,Female,West,4,Yes
C0134,Romil Ravi,46,Male,South,45,No
C0135,Dharmajan Khare,54,Female,South,36,No
C0136,Pranay Dugal,43,Female,South,2,Yes
C0137,Shanaya Saini,33,Female,North,59,No
C0138,Aarav Devan,32,Male,South,52,No
C0139,Emir Chaudry,54,Female,Central,33,No
C0140,Shray Banerjee,35,Female,North,9,Yes
C0141,Jayant Subramanian,29,Female,North,5,Yes
C0142,Nehmat Chandra,29,Female,North,5,Yes
C0143,Ojas Sankaran,51,Female,South,1,Yes
C0144,Adah Randhawa,37,Female,North,8,Yes
C0145,Diya Vaidya,25,Male,North,34,No
C0146,Jhanvi Varughese,26,Male,North,53,No
C0147,Parinaaz Dutta,35,Female,South,52,No
C0148,Keya Kaur,48,Female,East,12,Yes
C0149,Vihaan Deep,27,Male,East,2,Yes
C0150,Tushar Manda,31,Male,North,1,Yes
C0151,Kiaan Manne,47,Female,East,17,No
C0152,Jivika Soman,35,Female,West,44,No
C0153,Heer Bandi,25,Male,Central,55,No
C0154,Hansh Lall,33,Female,North,3,Yes
C0155,Rasha Shere,38,Male,North,5,Yes
C0156,Manikya Virk,39,Female,North,59,No
C0157,Urvi Tella,46,Female,South,20,No
C0158,Dharmajan Bhakta,23,Female,West,16,No
C0159,Prerak Batta,26,Male,Central,51,No
C0160,Hazel Jain,22,Female,East,26,No
C0161,Romil Hari,51,Female,Central,10,Yes
C0162,Lakshit Ganesan,48,Female,Central,41,No
C0163,Abram Goda,42,Female,East,36,No
C0164,Oorja Dass,47,Female,South,50,No
C0165,Alisha Sheth,23,Female,North,2,Yes
C0166,Zoya Brahmbhatt,46,Male,East,41,No
C0167,Arhaan Maharaj,24,Male,South,46,No
C0168,Vihaan Salvi,49,Male,South,33,No
C0169,Miraya Bose,49,Female,North,53,No
C0170,Vardaniya Korpal,36,Male,South,7,Yes
C0171,Rohan Subramanian,26,Male,Central,44,No
C0172,Jivin Arya,28,Male,South,47,No
C0173,Vardaniya Vasa,38,Female,West,30,No
C0174,Nehmat Rastogi,50,Male,South,47,No
C0175,Yashvi Jani,29,Male,South,41,No
C0176,Ivana Kothari,42,Female,West,5,Yes
C0177,Dhanuk Magar,52,Male,South,36,No
C0178,Parinaaz Dugar,55,Female,South,27,No
C0179,Akarsh Gulati,36,Female,South,17,No
C0180,Aarush Tiwari,41,Female,West,39,No
C0181,Hunar Brar,30,Female,Central,10,Yes
C0182,Mamooty Raman,42,Male,West,48,No
C0183,Keya Dubey,50,Male,West,56,No
C0184,Mahika Shenoy,30,Male,South,36,No
C0185,Nirvaan Talwar,46,Male,West,49,No
C0186,Diya Gill,45,Female,East,46,No
C0187,Aniruddh Chaudry,55,Male,East,11,Yes
C0188,Rania Anne,39,Male,West,21,No
C0189,Zoya Venkatesh,27,Female,North,1,Yes
C0190,Rohan Gara,23,Female,West,6,Yes
C0191,Zaina Sahni,48,Male,South,58,No
C0192,Sumer Keer,32,Male,North,39,No
C0193,Pranay Swamy,36,Female,Central,8,Yes
C0194,Anvi Bava,37,Female,South,13,Yes
C0195,Anahita Wason,50,Female,East,8,Yes
C0196,Hazel Joshi,43,Female,East,31,No
C0197,Manikya Suresh,50,Female,South,45,No
C0198,Heer Mandal,27,Male,South,33,No
C0199,Gokul Bhardwaj,39,Male,Central,32,No
C0200,Advika Virk,21,Male,Central,33,No
C0201,Faiyaz Dass,35,Female,South,5,Yes
C0202,Indrans Dua,29,Male,Central,34,No
C0203,Indranil Ganesan,49,Male,East,20,No
C0204,Mannat Andra,39,Female,West,3,Yes
C0205,Manikya Toor,55,Female,East,25,No
C0206,Keya Virk,37,Female,Central,14,Yes
C0207,Indranil Chaudhari,42,Male,South,13,Yes
C0208,Sara Ravel,35,Female,Central,38,No
C0209,Anya Bora,26,Female,North,44,No
C0210,Zain Jha,44,Female,East,38,No
C0211,Anya Sanghvi,27,Male,South,50,No
C0212,Adah Viswanathan,41,Male,East,44,No
C0213,Manikya Date,40,Female,North,1,Yes
C0214,Jhanvi Dutt,40,Female,North,9,Yes
C0215,Farhan Deol,29,Female,South,59,No
C0216,Alia Bhatia,55,Female,East,41,No
C0217,Yasmin Chanda,27,Female,East,32,No
C0218,Chirag Ramakrishnan,23,Female,South,30,No
C0219,Ritvik Sule,44,Male,Central,56,No
C0220,Anya Sur,43,Male,South,2,Yes
C0221,Ivan Ramanathan,50,Male,East,53,No
C0222,Drishya Chandra,22,Male,West,3,Yes
C0223,Kabir Bobal,34,Male,West,52,No
C0224,Ranbir Atwal,34,Male,South,10,Yes
C0225,Adira Gade,21,Female,West,3,Yes
C0226,Keya Chada,55,Female,West,14,Yes
C0227,Advik Tiwari,22,Male,North,30,No
C0228,Oorja Cheema,41,Male,North,12,Yes
C0229,Aayush Mani,47,Male,West,38,No
C0230,Saira Dani,53,Male,South,10,Yes
C0231,Biju Talwar,23,Female,South,18,No
C0232,Shlok Khosla,51,Female,South,12,Yes
C0233,Aarna Sankar,49,Male,West,24,No
C0234,Ranbir Sankaran,25,Male,South,50,No
C0235,Aayush Lanka,41,Female,Central,44,No
C0236,Advik Brahmbhatt,53,Female,North,56,No
C0237,Manjari Dugar,34,Female,South,6,Yes
C0238,Hridaan Dutta,50,Female,South,7,Yes
C0239,Sana Swaminathan,41,Female,South,8,Yes
C0240,Gatik Borde,25,Male,West,2,Yes
C0241,Vardaniya Gopal,44,Male,East,50,No
C0242,Pranay Dasgupta,42,Male,South,42,No
C0243,Kashvi Ganesh,24,Female,East,51,No
C0244,Parinaaz Vohra,53,Male,North,21,No
C0245,Yasmin Jain,43,Female,North,4,Yes
C0246,Alisha Kuruvilla,48,Male,East,59,No
C0247,Gatik Cheema,38,Male,South,34,No
C0248,Anika Dora,42,Female,North,51,No
C0249,Anika Thakkar,46,Male,North,16,No
C0250,Miraya Reddy,26,Male,South,25,No
C0251,Dhruv Bava,44,Female,West,51,No
C0252,Shlok Wason,26,Male,North,18,No
C0253,Ira Trivedi,26,Female,South,53,No
C0254,Priyansh Varma,49,Female,South,22,No
C0255,Samaira Chahal,43,Female,North,52,No
C0256,Neysa Sawhney,52,Female,North,53,No
C0257,Hazel Varkey,24,Male,South,23,No
C0258,Tushar Chad,37,Female,South,12,Yes
C0259,Diya Kar,48,Male,North,29,No
C0260,Ahana  Suri,53,Female,North,17,No
C0261,Raghav Borde,48,Male,South,6,Yes
C0262,Sara Sundaram,48,Female,West,22,No
C0263,Yuvaan Kibe,46,Male,Central,10,Yes
C0264,Jayan Shere,50,Female,North,30,No
C0265,Manjari Rattan,48,Female,South,34,No
C0266,Kaira Ahuja,42,Male,South,9,Yes
C0267,Nakul Datta,28,Male,Central,56,No
C0268,Tiya Anand,30,Male,North,3,Yes
C0269,Sahil Bajaj,30,Male,North,46,No
C0270,Anaya Master,50,Female,East,56,No
C0271,Misha Ramaswamy,41,Female,North,8,Yes
C0272,Kanav Kibe,40,Female,East,19,No
C0273,Nitara Kapur,40,Female,South,14,Yes
C0274,Madhav Khatri,39,Male,East,20,No
C0275,Reyansh Guha,53,Female,South,17,No
C0276,Hunar Bansal,49,Male,South,24,No
C0277,Divyansh Dora,24,Female,North,36,No
C0278,Madhup Basu,26,Male,North,43,No
C0279,Nakul Khurana,54,Male,South,39,No
C0280,Vedika Chadha,47,Female,East,11,Yes
C0281,Ivana Luthra,42,Male,South,39,No
C0282,Ishaan Roy,39,Female,West,53,No
C0283,Kanav Divan,30,Female,North,37,No
C0284,Suhana Bahl,40,Female,North,20,No
C0285,Anay Gopal,40,Female,East,23,No
C0286,Raunak Dugar,54,Male,East,38,No
C0287,Suhana Agrawal,22,Female,South,36,No
C0288,Mehul Chaudhary,52,Male,South,2,Yes
C0289,Vidur Bajaj,39,Male,South,48,No
C0290,Samaira Wali,23,Female,West,53,No
C0291,Nitya Seshadri,45,Male,North,54,No
C0292,Ritvik Kapadia,31,Female,North,30,No
C0293,Elakshi Bath,49,Female,West,29,No
C0294,Abram Tata,55,Male,South,45,No
C0295,Mamooty Kota,33,Female,East,43,No
C0296,Oorja Bajwa,50,Female,West,41,No
C0297,Hiran Kuruvilla,31,Male,West,5,Yes
C0298,Divyansh Suresh,24,Female,West,21,No
C0299,Umang Ahluwalia,54,Male,South,32,No
C0300,Jayan Chaudhary,49,Male,West,4,Yes
